place_id,name,address,rating,total_ratings,latitude,longitude,opening_hours,timestamp
ChIJr_qJed5v5kcR1PPwdl6vdsY,Munich Kebab,"71 Rue du Faubourg Saint-Denis, 75010 Paris, France",4.5,556,48.87276620000001,2.3541959,Monday: 11:00 AM – 2:00 AM; Tuesday: 11:00 AM – 2:00 AM; Wednesday: 11:00 AM – 2:00 AM; Thursday: 11:00 AM – 2:00 AM; Friday: 11:00 AM – 2:00 AM; Saturday: 11:00 AM – 2:00 AM; Sunday: 11:00 AM – 12:00 AM,2025-02-25 21:25:57
ChIJy7Yci9pv5kcRJ251RgATmZA,Berliner Das Original - Kebab,"49 Rue d'Alsace, 92300 Levallois-Perret, France",4.2,240,48.8934972,2.2991156,Monday: 11:00 AM – 12:00 AM; Tuesday: 11:00 AM – 12:00 AM; Wednesday: 11:00 AM – 12:00 AM; Thursday: 11:00 AM – 12:00 AM; Friday: 11:00 AM – 2:00 AM; Saturday: 11:00 AM – 2:00 AM; Sunday: 11:00 AM – 12:00 AM,2025-02-25 21:25:57
ChIJ0_DPjKVt5kcRZ7SuywCcYMU,Meister,"22 Bd de la Liberté, 93260 Les Lilas, France",4.8,257,48.8798136,2.4178532,Monday: 11:00 AM – 11:00 PM; Tuesday: 11:00 AM – 11:00 PM; Wednesday: 11:00 AM – 11:00 PM; Thursday: 11:00 AM – 11:00 PM; Friday: 5:00 – 11:00 PM; Saturday: 11:00 AM – 11:00 PM; Sunday: 11:00 AM – 11:00 PM,2025-02-25 21:25:57
ChIJvZq2mldx5kcR1HTex3GlwYc,Meister,"25 Av. Aristide Briand, 94230 Cachan, France",4.7,733,48.800073,2.3236271,"Monday: 11:30 AM – 12:00 AM; Tuesday: 11:30 AM – 12:00 AM; Wednesday: 11:30 AM – 12:00 AM; Thursday: 11:30 AM – 12:00 AM; Friday: 11:30 AM – 2:30 PM, 4:00 PM – 2:00 AM; Saturday: 11:30 AM – 2:00 AM; Sunday: 11:30 AM – 12:00 AM",2025-02-25 21:25:57
ChIJNwZ2AzNv5kcRLQj5VpYZuEc,Monsieur Kebab,"32 Rue Cave, 75018 Paris, France",4.7,280,48.8867933,2.3537985,"Monday: 12:00 – 3:00 PM, 6:00 – 11:00 PM; Tuesday: 12:00 – 3:00 PM, 6:00 – 11:00 PM; Wednesday: 12:00 – 3:00 PM, 6:00 – 11:00 PM; Thursday: 12:00 – 3:00 PM, 6:00 – 11:00 PM; Friday: 12:00 – 3:00 PM, 6:00 – 11:00 PM; Saturday: 12:00 – 11:00 PM; Sunday: 2:00 – 11:00 PM",2025-02-25 21:25:57
ChIJIWlcIYV75kcR2lmaZtTjM1U,Berliner Das Original - Kebab,"93 Av. Édouard Vaillant, 92100 Boulogne-Billancourt, France",4.1,965,48.83396949999999,2.2452758,Monday: 11:00 AM – 11:00 PM; Tuesday: 11:00 AM – 11:00 PM; Wednesday: 11:00 AM – 11:00 PM; Thursday: 11:00 AM – 11:00 PM; Friday: 11:00 AM – 11:00 PM; Saturday: 11:00 AM – 11:00 PM; Sunday: 11:00 AM – 11:00 PM,2025-02-25 21:25:57
ChIJRYHqrNdx5kcR9lU7wBwI5kc,"Kebab's Friend ""Berliner""","60 Av. du Général Leclerc, 75014 Paris, France",4.0,85,48.8299354,2.3284069,Monday: 11:00 AM – 2:00 AM; Tuesday: 11:00 AM – 2:00 AM; Wednesday: 11:00 AM – 2:00 AM; Thursday: 11:00 AM – 2:00 AM; Friday: 11:00 AM – 2:00 AM; Saturday: 10:00 AM – 2:00 AM; Sunday: 10:00 AM – 2:00 AM,2025-02-25 21:25:57
ChIJY-1XtRNu5kcR6cJga57p0dg,Urfa Durum,"58 Rue du Faubourg Saint-Denis, 75010 Paris, France",4.5,3370,48.872382,2.3542836,Monday: 11:30 AM – 12:00 AM; Tuesday: 11:30 AM – 12:00 AM; Wednesday: 11:30 AM – 12:00 AM; Thursday: 11:30 AM – 12:00 AM; Friday: 11:30 AM – 12:00 AM; Saturday: 11:30 AM – 12:00 AM; Sunday: Closed,2025-02-25 21:25:59
ChIJL8GgAGZv5kcRseOkmPcemio,Döni Berliner Paris 18,"14 Av. de Clichy, 75018 Paris, France",4.8,57,48.8846807,2.3271824,Monday: 11:30 AM – 12:00 AM; Tuesday: 11:30 AM – 12:00 AM; Wednesday: 11:30 AM – 12:00 AM; Thursday: 11:30 AM – 12:00 AM; Friday: 11:30 AM – 12:00 AM; Saturday: 11:30 AM – 12:00 AM; Sunday: 11:30 AM – 12:00 AM,2025-02-25 21:25:59
ChIJVxav_mdu5kcRRv4Iown--_c,Paristanbul - Montmartre - Berliner,"47 Rue de Clignancourt, 75018 Paris, France",4.6,155,48.88667,2.3475006,Monday: 11:00 AM – 10:00 PM; Tuesday: 11:00 AM – 10:00 PM; Wednesday: 11:00 AM – 10:00 PM; Thursday: 11:00 AM – 10:00 PM; Friday: 11:00 AM – 10:00 PM; Saturday: 11:00 AM – 10:00 PM; Sunday: Closed,2025-02-25 21:26:00
ChIJzaYP8Xpv5kcRJAtL_Crftfg,Meister Berliner Kebap - CLICHY,"15 Rue de l'Ancienne Mairie, 92110 Clichy, France",4.7,212,48.9035544,2.3029613,Monday: 11:30 AM – 1:00 AM; Tuesday: 11:30 AM – 1:00 AM; Wednesday: 11:30 AM – 1:00 AM; Thursday: 11:30 AM – 1:00 AM; Friday: 11:30 AM – 2:00 AM; Saturday: 11:30 AM – 2:00 AM; Sunday: 11:30 AM – 1:00 AM,2025-02-25 21:26:00
ChIJTQricQBv5kcRyiP9jozuVbU,Meister,"64 Bd Victor Hugo, 93400 Saint-Ouen-sur-Seine, France",4.3,107,48.9093544,2.3292586,"Monday: 11:30 AM – 2:30 PM, 6:30 – 11:00 PM; Tuesday: 11:30 AM – 2:30 PM, 6:30 – 11:00 PM; Wednesday: 11:30 AM – 2:30 PM, 6:30 – 11:00 PM; Thursday: 11:30 AM – 2:30 PM, 6:30 – 11:00 PM; Friday: 11:30 AM – 11:00 PM; Saturday: 11:30 AM – 11:00 PM; Sunday: 11:30 AM – 11:00 PM",2025-02-25 21:26:00
ChIJWQC4XQpx5kcRU-f4QF1XJe4,Berliner Das Original - Kebab,"35 Rue Camille Desmoulins, 94230 Cachan, France",3.9,55,48.7924723,2.3330571,Monday: 11:30 AM – 10:30 PM; Tuesday: 11:30 AM – 10:30 PM; Wednesday: 11:30 AM – 10:30 PM; Thursday: 11:30 AM – 10:30 PM; Friday: 11:30 AM – 10:30 PM; Saturday: 11:30 AM – 10:30 PM; Sunday: 11:30 AM – 10:30 PM,2025-02-25 21:26:00
ChIJHSENXPdx5kcRaQtiHRvAleQ,Berliner Strasse Kebap,"89 Rue Daguerre, 75014 Paris, France",4.5,497,48.8358796,2.3242207,,2025-02-25 21:26:00
ChIJ5WIRXKJv5kcR7jsO7-Mak7s,BERLINER GOURMET - Döner kebab,"26 Rue Louis Rouquier, 92300 Levallois-Perret, France",4.7,33,48.889697,2.2846133,,2025-02-25 21:26:00
ChIJBf3w9hZv5kcRoQWPpk5Xb5w,Mopa Döner,"3 Rue Pierre Fontaine, 75009 Paris, France",5.0,155,48.8808794,2.3346305,,2025-02-25 21:26:00
ChIJ0QtKlNxx5kcRh5gV5NbqViQ,Le Saint-Paul Délicieux,"61 Rue Saint-Antoine, 75004 Paris, France",3.3,67,48.8540971,2.3638186,Monday: 11:00 AM – 4:00 AM; Tuesday: 11:00 AM – 4:00 AM; Wednesday: 11:00 AM – 4:00 AM; Thursday: 11:00 AM – 4:00 AM; Friday: 11:00 AM – 4:00 AM; Saturday: 11:00 AM – 4:00 AM; Sunday: 11:00 AM – 4:00 AM,2025-02-25 21:26:04
ChIJfdU_JYRx5kcRyb9V4Ccm2M4,Arham berline kebab,"23 Rue du Val de Grâce, 75005 Paris, France",3.5,8,48.8415806,2.3381455,Monday: 10:30 AM – 10:30 PM; Tuesday: 10:30 AM – 10:30 PM; Wednesday: 10:30 AM – 10:30 PM; Thursday: 10:30 AM – 10:30 PM; Friday: 10:30 AM – 10:30 PM; Saturday: 10:30 AM – 10:30 PM; Sunday: 10:30 AM – 10:30 PM,2025-02-25 21:26:04
ChIJhT_Jp7Zl5kcRiwni7C2Nnh8,Berliner Das Original - Kebab,"les 4 Temps, Centre Commercial Westfield, 15 Parv. de la Défense, 92800 Puteaux, France",4.1,1461,48.89116749999999,2.2400833,Monday: 11:30 AM – 10:30 PM; Tuesday: 11:30 AM – 10:30 PM; Wednesday: 11:30 AM – 10:30 PM; Thursday: 11:30 AM – 10:30 PM; Friday: 11:30 AM – 10:30 PM; Saturday: 11:30 AM – 10:30 PM; Sunday: 11:30 AM – 10:30 PM,2025-02-25 21:26:04
